enz_id	MW (g/mmol)
YML070W	62.75704
YFL053W	62.69505
YJL167W	40.808
YKL152C	111.36144
YLR172C	34.11201
YMR013C	59.41672
YPR183W	30.61197
YJR057W	49.76218
YBR252W	46.30839
YJR069C	44.53348
YJR153W	37.63341
YPL281C	95.46022
YOR393W	95.46022
YGR254W	94.4594
YMR323W	95.4343
YHR174W	94.64746
YDR147W	62.15834
YOR126C	55.11994
YNR067C	122.10292
YGR282C	34.39405
YLR300W	51.70917
YDR261C	64.03522
YOR190W	52.22278
YPL069C	38.95806
YER015W	84.16516
YOR176W	44.97875
YDL045C	35.82274
YLR011W	42.89884
YOR388C	84.1337
YGR204W	206.25038
YBR084W	214.36734
YLR345W	117.73632
YJL155C	106.0528
YLR377C	154.34052
YKL216W	70.18714
YJR051W	55.55566
YEL047C	51.28959
YLR299W	73.80474
YBR020W	58.4498
YJL101C	78.89974
YPR184W	176.44462
YIL099W	61.96912
YNL241C	58.00096
YBR196C	123.64894
YDR300C	47.56765
YMR250W	66.54536
YDL215C	501.51452
YAL062W	300.34578
YOR375C	299.99652
YDL171C	720.61071
YOR323C	50.16593
YFL060C	25.33566
YNL334C	25.41073
YPR035W	336.88464
YKL104C	80.73298
YMR084W	29.5089
YOR168W	93.9299
GUS1ARC1	123.97466
YOL033W	62.13792
YPL091W	53.90634
YBL064C	59.48708
YOL049W	112.56124
YJR009C	144.63388
YGR192C	144.23312
YJL052W	144.26236
YOR120W	35.37385
YHL032C	80.51868
YIL053W	28.1706
YER062C	28.04146
YIL155C	73.02123
YDL022W	43.22635
YPL110C	139.20499
YDR408C	23.73201
YLR058C	210.67192
YBR263W	216.65612
YPR160W	208.26828
YPR081C	143.2355
YBR121C	151.9461
YMR217W	117.95926
YMR281W	35.73661
YKL165C	106.58316
GPI18PGA1	73.753
YGL142C	73.16706
YLL031C	116.61923
YDR302W	25.4727
YGR267C	279.9284
YBL033C	38.65152
YDL238C	55.66189
YDR399W	50.77492
YPL172C	52.61933
YGL253W	108.79582
YLR446W	98.74964
YFR053C	108.38174
YCL040W	55.84789
YCL030C	88.47645
YFR025C	38.88438
YIL116W	43.0097
YBR034C	80.20124
YJL200C	87.34938
YLL062C	37.01044
YPL273W	36.96517
YIL094C	40.42359
YJR139C	77.68546
YHR025W	78.08822
YNL277W	54.11596
YDR272W	31.57618
YOR040W	32.60551
YNR041C	41.37933
YPL214C	468.58552
YDL205C	36.97832
YML075C	116.66566
YLR450W	116.719
YML126C	55.48993
YPR121W	63.84042
YPL258C	61.85367
YOL055C	61.79172
YBR248C	61.58738
YOR202W	24.02796
YML056C	227.61376
YLR432W	228.35716
YHR216W	228.16176
TRP23	222.38986
YBR011C	65.12044
YMR267W	71.72846
YMR120C	131.66146
YLR028C	131.69758
YDR315C	33.18269
YDR173C	40.66248
YLR174W	93.89754
YNL009W	48.26898
YER065C	251.74872
YBL076C	124.0181
YPL040C	116.78262
YPL117C	33.60111
YBL098W	52.8761
YLR089C	133.98214
YEL046C	172.70256
YMR226C	117.62444
YDR321W	41.7478
YLR157C	39.01614
YLR160C	39.01614
YLR155C	39.01614
YLR158C	39.01614
YER023W	121.5744
YOL151W	38.48609
YCL064C	39.65105
YJR078W	51.21294
YDR403W	61.89903
YML004C	37.51247
YHR072W	84.16352
YPL160W	125.19036
YLR382C	102.80349
YDR037W	137.03584
YNL073W	66.69773
YKL085W	71.93538
YOL126C	82.17294
YDL078C	75.03582
YNL117W	63.32452
YIR031C	63.32141
YKL029C	75.0303
YDL055C	39.9045
YER003C	48.58932
YDR502C	170.44184
YLR180W	168.66744
YBL013W_m	45.01747
YBL013W_c	45.01747
MES1ARC1	128.8429
YGR171C	67.30084
YKR080W	73.08046
YPR006C	65.53238
YMR208W	97.74408
YNR043W	88.97094
YHR046C	33.09177
YDR287W	32.35922
YJL153C	60.14742
YFL017C	36.54134
YJL071W	66.17464
YMR062C	96.54256
YDR428C	60.452
YGL067W	87.7559
YJR049C	359.8719
YEL041W	450.71984
YPL188W	279.89676
YDR191W	42.13102
YPL015C	120.91776
YOR025W	50.96867
YOL068C	58.19459
YDL042C	63.81343
YDL085W	62.19071
YMR145C	63.33064
YML120C	57.75838
YOR209C	49.42608
YGL037C	25.18299
YLR285W	29.85727
YCL047C	29.91517
YGR010W	181.09468
YFR047C	195.80784
YER005W	72.45113
YEL042W	114.61208
YKL067W	69.21408
YAL035W	113.23364
YML082W	299.67416
YLL058W	259.1146
YJL088W	38.15883
YKL184W	105.43536
YLR438W	46.48665
YML106W	49.74054
YMR271C	50.04474
YEL021W	29.48821
YGR277C	34.58619
YDR531W	41.2457
YIL145C	35.31483
YJR019C	40.5943
YPR047W	55.28136
YDR380W	71.99364
YGL234W	86.82404
YEL058W	62.591
YKR097W	246.01448
YGR007W	37.16033
YKL127W	63.66215
YMR105C	63.63382
YHR183W	108.01952
YGR256W	108.7907
YIL074C	51.63182
YER081W	51.63073
YCR012W	45.13603
YOR283W	105.55704
YFL045C	58.57898
YMR220W	50.87932
YIL083C	84.43106
YMR278W	71.65928
YAR015W	34.88507
YOR128C	62.89089
YDR007W	24.34525
YMR300C	57.20372
YGR208W	34.4879
YOR184W	87.57228
YBR183W	36.72032
YDR294C	132.27812
YMR020W	58.28097
YGL040C	304.45488
YNL316C	38.5328
YBR166C	51.35086
YLR142W	53.73805
YHR020W	78.04756
YER014W	60.24041
YLR209C	34.04662
YBR035C	54.23586
YGL062W	524.9486
YBR218C	525.24572
YOR347C	222.71876
YAL038W	220.10836
YOL143C	93.51685
YBR256C	79.22229
RNR124	287.71259
RNR1234	285.64306
YOR095C	28.49278
YNL129W	27.90923
YJL121C	26.1809
YML008C	43.78628
YJL068C	34.20979
YIR034C	41.82749
YNR050C	49.33333
YDR023W	107.49016
YHR011W	101.65334
YBR213W	64.33884
YPR069C	33.58669
YLR146C	34.35933
YKR053C	46.87462
YJL134W	47.77631
YOR171C	70.23774
YLR260W	78.22896
SPONT	nan
YGR175C	55.59734
YHR190W	52.13235
YBR006W	54.66472
YIL162W	61.12936
YJR010W	349.21704
YLL057C	47.36814
YOR241W	62.68888
YOR143C	73.82528
YIL078W	85.23165
YKL194C	54.54053
YOR074C	70.6638
YBR003W	53.02123
YLR354C	74.7021
YGR043C	75.1266
YBR117C	151.35522
YPR074C	148.92594
YDR050C	54.04428
YGL026C	77.3042
YOL097C	99.5215
YDR268W	86.76828
YGR185C	88.79932
YPL097W	111.54782
YLR189C	137.2321
YDL103C	53.93456
YBR019C	78.86224
YBR018C	85.46544
YHR128W	24.7892
YIR032C	43.79094
YDR020C	26.7967
YDR047W	83.3834
YKR069W	66.69462
YOR278W	31.17029
YKL035W	451.73904
YHL012W	451.67688
YJR133W	23.85696
YLR070C	38.93102
YGR194C	68.89732
YPL212C	62.67108
YNL292W	45.654
YGL063W	42.25196
YFL001W	51.33037
YDL131W	49.00768
YEL029C	35.84984
YKR043C	62.53318
YDL066W	97.21198
YKL055C	31.45182
YHR067W	33.32383
YBR026C	84.87088
YCR034W	40.34573
YLR372W	39.80493
YBR159W	39.0509
YJL097W	24.72557
YDL015C	37.07445
YGL055W	58.90342
YOR317W	78.54853
YMR246W	77.93535
YIL009W	78.63896
YBR041W	77.79707
YLR284C	191.77872
YOR180C	30.31463
YNL202W	62.78136
YLL012W	67.05309
YKL140W	63.50247
YLR020C	62.96895
YDR400W	38.27097
YDR135C	172.62982
YLL048C	190.80957
YOR222W	34.31473
YPL134C	34.51699
YDL210W	62.42347
YOR348C	69.39679
YNR056C	62.97052
YCR010C	30.98371
YGL186C	65.11774
YER060W	58.55046
YER060W-A	57.82866
YER056C	58.70558
YAL022C	58.7966
YMR056C	68.85444
YBR085W	67.24332
YBL030C	69.49194
YPR128C	36.69207
YMR241W	34.49831
YJR152W	61.38168
YIR028W	72.37536
YDR384C	30.27705
YPR138C	54.15523
YGR121C	54.6655
YNL142W	53.87709
YPR021C	105.19006
YGR065C	69.67209
YOR100C	35.08
YGL077C	62.59646
YBR291C	32.46806
YHR002W	41.18093
YBR192W	42.47834
YOL156W	63.28802
YEL069C	63.27959
YDR342C	63.28848
YNR072W	63.37269
YDR343C	63.25846
YJR158W	63.47282
YHR092C	64.46535
YDR345C	63.10593
YJL214W	64.03581
YMR011W	60.36908
YHR094C	63.81371
YHR096C	66.82674
YFL011W	61.20245
YJL219W	63.41103
YDL245C	63.4849
YDR536W	64.07809
YNL318C	61.501
YLR081W	64.18134
YKL217W	69.96455
YIL013C	161.91882
YOR011W	159.12231
YIL134W	34.71997
YGL225W	37.34842
YJR160C	67.84531
YDL247W	68.79165
YDR387C	62.04941
YJL212C	92.40955
YLL015W	178.4156
YCR098C	57.82808
YGL084C	65.90032
YLL043W	74.52261
YFL054C	71.13871
YPL265W	68.69977
YCL025C	70.28271
YOL020W	65.98487
YDL198C	33.51624
YOL103W	67.30552
YDR497C	64.13104
YMR319C	63.31121
YMR058W	72.92685
YKR052C	33.59528
YJL133W	34.80131
YBR068C	68.36477
YDR046C	67.95437
YNL270C	64.56995
YEL063C	66.36075
YBR293W	52.15278
YOL092W	35.15319
YDR508C	74.24437
YJR001W	65.93451
YNL101W	80.73418
YKL146W	76.13984
YER119C	49.27912
YFL055W	61.59119
YBR132C	67.83825
YBR069C	69.35993
YCR075C	30.36303
YBR104W	36.87487
YCL069W	50.67595
YMR088C	63.19293
YGR191W	66.59073
YCL038C	59.3572
YNL268W	68.67996
YGR055W	63.77757
YHL036W	61.15611
YDR105C	52.67655
YLR348C	66.57066
YBR298C	68.85323
YGR289C	68.57263
YBR180W	63.96936
YEL006W	37.29345
YIL006W	42.31406
YGR260W	60.64831
YOR130C	31.80339
YKL120W	35.47178
YCR028C	58.74893
YML123C	64.94042
YCR037C	103.4349
YBR296C	63.20488
YJL198W	98.54878
YNR013C	100.36868
YJR077C	66.22766
YER053C	67.65428
YDR456W	70.73824
YJL129C	142.29788
YOR273C	73.86627
YLL028W	64.83667
YPL274W	64.92514
YNL003C	31.30563
YLL061W	64.78619
YLR138W	110.31209
YHL016C	81.3221
YGR138C	68.18297
YPR156C	68.66825
YJR095W	35.66311
YBR294W	96.7859
YLR092W	100.5177
YPL092W	52.99176
YGR096W	35.44958
YOR192C	67.76473
YOR071C	67.77476
YLR237W	67.48117
YBR021W	72.35419
YBL042C	72.78629
YFL058W	77.83282
YER183C	24.24956
YPR011C	36.23387
YNL036W	25.05994
YOR161C	60.77723
YDR071C	22.11427
YNL065W	65.87774
YGL104C	54.81292
YBR241C	53.99447
YDL119C	34.51044
YPR058W	33.67442
YNR027W	35.66343
YOR306C	58.07342
YDL024C	53.51473
YKL087C	26.28087
YAL039C	30.32166
YBR022W	40.19528
YMR087W	64.66598
YBR046C	37.33932
YDR352W	35.4686
YBR235W	125.11151
YEL031W	136.45443
YER010C	77.33706
YER163C	26.49923
YIL023C	37.742
YKL215C	283.3685
YFR044C	106.6458
YDR039C	121.36195
YDR040C	121.40102
YDR038C	121.3409
YDR248C	22.34849
YLR239C	37.55904
YOR196C	46.6638
YPL060W	47.48261
YOR334W	273.36225
YPR127W	38.91935
YDR452W	315.98216
YOL122C	63.81525
YLR130C	46.74543
YGL255W	41.93209
YOL130W	96.69946
YBL011W	86.43264
YOR175C	72.85745
YDL052C	34.18873
YKR089C	103.61074
YOR081C	85.4603
YHR123W	44.92724
YNL130C	45.19895
YBR029C	104.54072
YER026C	31.05621
YPR113W	25.03042
YCL004W	59.89984
YHR100C	21.11596
YDL142C	32.29944
YPR140W	44.55423
YMR165C	95.83183
YDR284C	33.77964
YDR503C	31.84703
YBR204C	43.63833
YCR068W	58.91836
YMR313C	74.24396
YDR058C	37.8128
YKL094W	35.86024
YOR311C	33.11582
YNR008W	76.02637
YNL169C	114.17254
YGR170W	262.3735
YGR157W	102.0593
YJR073C	23.34411
YGR110W	52.48926
YMR008C	72.2844
YML059C	188.79622
YMR006C	76.11551
YOL011W	75.72313
YPL268W	101.42077
YPL206C	37.37846
YKR031C	196.86525
YNL106C	134.50898
YOR109W	125.66187
YJR110W	80.82085
YBR042C	45.90783
YLR305C	216.48613
YNL267W	120.95812
YIL002C	109.3495
YOL065C	44.16547
PI35P2REGCPLX	647.70956
YDR072C	61.38258
YIL048W	131.33362
YMR162C	189.94345
YAL026C	155.06188
RER2NUS1	75.87399
YDL182W	47.50743
YKL132C	48.55397
YBL091C	47.91089
YLR244C	43.74491
UTR4ADI1	46.42222
YMR108W	151.21842
ILV26	109.8817
COQCPLX	221.01841
YNL104C_c	137.99638
YNL104C_m	137.99638
YDR539W	113.27284
YDR538W	26.96714
YNR016C	505.0581
YAL054C_c	79.82596
TPS12TSL1	284.5552
TPS123	280.32239
YLR027C_c	92.9204
YLR027C_x	92.9204
ATPSCPLX	1260.31535
YGL008C	100.48632
YPL036W	103.06595
RAM12	86.38581
CPA12	170.7361
YML042W_x	77.89711
YML042W_mm	77.89711
LIP1LAG1	66.19149
LIP1LAC1	66.74305
YLR304C_m	86.13043
YLR304C_c	86.13043
ERG11NCP1	138.65757
YOR236W_c	24.45482
YOR236W_m	24.45482
PMT12	181.07435
PMT13	180.51429
PMT4	177.40452
PMT35	172.55379
CCP1CYC7	53.3267
CCP1CYC1	52.97136
FECOORCPLX1	218.73706
FECOORCPLX2	218.68185
FECRq6CPLX	505.35094
YPL262W_m	214.5018
YPL262W_c	214.5018
GLR1GRX1	66.37239
GLR1GRX3	110.83622
GLR1GRX2	69.89267
GLR1GRX4	109.30748
GLR1GRX5	88.02092
YOL059W_c	49.8392
YOL059W_m	49.8392
GCV123LPD1	233.74539
GSY1GLG2	126.07875
GSY1GLG1	151.43316
GSY2GLG2	125.6474
GSY2GLG1	151.00181
GPI14PBN1	95.87048
COX15ARH1YAH1	130.95812
YPR033C_c	60.48112
YPR033C_m	60.48112
YDR453C	43.58528
YLR109W	38.53288
IDH12	319.05492
LSC12	82.65551
LYS25	187.61764
YNL045W_c	77.99494
YNL045W_n	77.99494
ACP1MCT1	55.09143
DIT12	118.44873
YHR074W_c	81.37298
YHR074W_n	81.37298
YLR328W_c	184.94276
YLR328W_n	184.94276
FRS12	251.81628
MET16TRX2	41.90073
MET16TRX1	41.93083
PFK12	857.89532
CAB3SIS2VHS3	202.98924
CAB3SIS2	128.739
CAB3VHS3	140.00778
PRS12	82.50165
PRS13	82.87152
PRS14	83.46472
PRS25	89.03997
PRS45	90.00304
PDHCPLX	381.29514
YDR236C_r	24.72971
YDR236C_mm	24.72971
NATACPLX	147.4458
LCB12	126.39583
LCB12TSC3	136.03897
SDH9234	143.16615
SDH1234	144.02007
MET510	556.83118
YIL010W	24.3245
YDR353W	69.06752
YHR106W	74.81806
YKL024C_c	23.11797
YKL024C_n	23.11797
YGR094W_c	126.84864
YGR094W_m	126.84864
FAS12	2636.69364
ACP1CEM1	62.02735
ATPASECPLXgm	982.02485
ATPASECPLXvm	982.02485
YKR039W_en	66.24395
YLL052C_en	17.14496
YPR192W_en	32.99751
YBR147W_mm	33.77134
MPC13	31.48395
MPC12	29.78999
PXA12	198.88328
YKR039W_rm	66.24395
YLL052C_rm	17.14496
YPR192W_rm	32.99751
YAL061W_c	46.48312
YAL061W_n	46.48312
ALG1314	50.10881
YBR147W_vm	33.77134
DUG23	139.42303
YKR067W_rm	84.39832
YKR067W_l	84.39832
YIL124W_r	33.1017
YIL124W_l	33.1017
YOR245C_rm	48.13191
YOR245C_l	48.13191
YER019W_rm	54.39898
YER019W_mm	54.39898
YKL212W_rm	71.7287
YKL212W_gm	71.7287
YJL100W_en	70.79725
YJL100W_vm	70.79725
PIK1FRQ1	143.13078
VPS15VPS34	269.57695
YDR208W_n	90.10072
YDR208W_en	90.10072
VAC14FIG4	203.19144
KEI1AUR1	71.25748
CSG2CSH1	90.58427
CSG2SUR1	91.0164
KGDCPLX	234.57898
CIR1AIM45	66.13796
SNZ1SNO1	57.1991
SNZ2SNO1	57.41626
SNZ3SNO1	57.40223
YEL071W	55.69843
YDL174C	65.85592
YDL178W	59.77082
YML054C	264.47168
