gene_id	uniprot_id	MW (g/mmol)
YBL060W	YEL1	78.44404
YBL061C	SKT5	79.52108
YBL063W	KIP1	125.76502
YBL064C	PRX1	30.4032
YBL066C	SEF1	131.57783
YBL067C	UBP13	86.40267
YBL068W	PRS4	36.74851
YBL069W	AST1	50.38807
YBL071C-B	YBL071C-B	3.69851
YBL071W-A	KTI11	9.28394
YBL072C	RPS8A	22.23483
YBL074C	AAR2	40.86954
YBL075C	SSA3	73.30369
YBL076C	ILS1	125.27389
YBL078C	ATG8	13.14861
YBL079W	NUP170	168.58673
YBL080C	PET112	61.32168
YBL081W	YBL081W	41.58904
YBL082C	ALG3	53.1342
YBL084C	CDC27	85.82262
YBL085W	BOI1	110.68099
YBL086C	YBL086C	53.65398
YBL087C	RPL23A	16.15154
YBL088C	TEL1	318.5271
YBL089W	AVT5	51.20394
YBL090W	MRP21	19.55846
YBL091C	MAP2	49.02928
YBL091C-A	SCS22	20.26317
YBL092W	RPL32	14.97762
YBL093C	ROX3	25.32846
YBL095W	YBL095W	31.80301
YBL097W	BRN1	86.71758
YBL098W	BNA4	51.28401
YBL099W	ATP1	62.03387
YBL100W-A	YBL100W-A	50.51799
YBL100W-B	YBL100W-B	201.21233
YBL100W-C	YBL100W-C	4.41542
YBL101C	ECM21	126.80662
YBL102W	SFT2	24.54666
YBL103C	RTG3	54.61004
YBL104C	SEA4	117.73336
YBL105C	PKC1	132.64551
YBL106C	SRO77	113.95681
YBL107C	MIX23	22.51782
YBL108C-A	PAU9	4.50045
YBL111C	YBL111C	77.26903
YBL112C	YBL112C	12.52911
YBL113C	YBL113C	87.92516
YBR001C	NTH2	89.3039
YBR002C	RER2	32.42896
YBR003W	COQ1	53.33675
YBR004C	GPI18	48.60044
YBR005W	RCR1	24.73763
YBR006W	UGA2	57.6507
YBR007C	DSF2	82.67283
YBR008C	FLR1	62.79019
YBR009C	HHF1	11.79671
YBR010W	HHT1	15.06882
YBR011C	IPP1	32.67743
YBR012W-A	YBR012W-A	50.47947
YBR012W-B	YBR012W-B	199.28947
YBR013C	YBR013C	14.29182
YBR014C	GRX7	23.6897
YBR015C	MNN2	68.77836
YBR016W	YBR016W	15.95091
YBR017C	KAP104	104.55768
YBR018C	GAL7	42.79571
YBR019C	GAL10	81.08296
YBR020W	GAL1	61.68404
YBR021W	FUR4	72.17865
YBR022W	POA1	20.25007
YBR023C	CHS3	135.37068
YBR024W	SCO2	34.0048
YBR025C	OLA1	45.08596
YBR026C	ETR1	44.29033
YBR028C	YPK3	59.50883
YBR029C	CDS1	52.02215
YBR030W	RKM3	63.22366
YBR031W	RPL4A	42.16998
YBR033W	EDS1	105.09063
YBR034C	HMT1	40.19729
YBR035C	PDX3	26.04751
YBR036C	CSG2	46.66916
YBR037C	SCO1	34.41263
YBR038W	CHS2	110.36407
YBR039W	ATP3	34.27592
YBR040W	FIG1	33.54145
YBR041W	FAT1	77.40323
YBR042C	CST26	44.88579
YBR043C	QDR3	78.04239
YBR044C	TCM62	65.6023
YBR045C	GIP1	72.12166
YBR046C	ZTA1	38.31453
YBR047W	FMP23	20.56232
YBR048W	RPS11B	18.60313
YBR049C	REB1	93.8464
YBR050C	REG2	38.7092
YBR052C	RFS1	24.09308
YBR053C	YBR053C	42.00265
YBR054W	YRO2	39.45352
YBR055C	PRP6	103.47237
YBR056W	YBR056W	58.63114
YBR056W-A	YBR056W-A	8.27765
YBR057C	MUM2	41.75876
YBR058C	UBP14	92.54253
YBR058C-A	TSC3	8.96688
YBR059C	AKL1	127.35412
YBR060C	ORC2	71.62805
YBR061C	TRM7	36.03525
YBR062C	YBR062C	21.16677
YBR063C	YBR063C	45.06639
YBR065C	ECM2	41.56676
YBR066C	NRG2	24.81537
YBR067C	TIP1	21.84348
YBR068C	BAP2	68.2294
YBR069C	TAT1	71.14963
YBR070C	ALG14	27.44005
YBR071W	YBR071W	22.7404
YBR072C-A	YBR072C-A	5.56048
YBR072W	HSP26	25.52348
YBR073W	RDH54	110.35544
YBR074W	PFF1	110.51093
YBR076W	ECM8	40.3675
YBR077C	SLM4	18.45109
YBR078W	ECM33	47.12636
YBR079C	RPG1	109.27185
YBR080C	SEC18	86.22068
YBR081C	SPT7	153.0666
YBR082C	UBC4	16.58
YBR083W	TEC1	54.83769
YBR084C-A	RPL19A	21.57414
YBR084W	MIS1	111.92351
YBR085C-A	YBR085C-A	9.77738
YBR085W	AAC3	34.99425
YBR086C	IST2	107.62626
YBR087W	RFC5	39.99519
YBR088C	POL30	28.78492
YBR089C-A	NHP6B	11.25525
YBR090C	YBR090C	14.53318
YBR091C	TIM12	12.90334
YBR092C	PHO3	53.53024
YBR093C	PHO5	53.68108
YBR094W	PBY1	86.93458
YBR095C	RXT2	48.07672
YBR096W	YBR096W	26.4531
YBR097W	VPS15	165.14501
YBR098W	MMS4	78.70397
YBR101C	FES1	32.99774
YBR102C	EXO84	86.21683
YBR103W	SIF2	62.23068
YBR104W	YMC2	38.64196
YBR105C	VID24	42.21687
YBR106W	PHO88	21.02021
YBR107C	IML3	27.99853
YBR108W	AIM3	113.51324
YBR109C	CMD1	16.4271
YBR110W	ALG1	51.87777
YBR111C	YSA1	27.13888
YBR111W-A	SUS1	11.2261
YBR112C	CYC8	112.89595
YBR114W	RAD16	92.01032
YBR115C	LYS2	161.56598
YBR117C	TKL2	78.38379
YBR118W	TEF2	54.64164
YBR119W	MUD1	34.59304
YBR120C	CBP6	18.70035
YBR121C	GRS1	77.57977
YBR122C	MRPL36	20.27381
YBR123C	TFC1	75.62354
YBR125C	PTC4	45.48503
YBR126C	TPS1	58.65058
YBR126W-A	YBR126W-A	8.2068
YBR127C	VMA2	58.00456
YBR128C	ATG14	40.19827
YBR129C	OPY1	37.36776
YBR130C	SHE3	49.06067
YBR131W	CCZ1	80.30155
YBR132C	AGP2	67.62085
YBR133C	HSL7	95.46405
YBR135W	CKS1	17.54084
YBR136W	MEC1	269.39855
YBR137W	YBR137W	20.59837
YBR138C	YBR138C	60.27843
YBR139W	YBR139W	58.3997
YBR140C	IRA1	347.79217
YBR141C	BMT2	39.18018
YBR142W	MAK5	89.26698
YBR143C	SUP45	50.75454
YBR145W	ADH5	41.66495
YBR146W	MRPS9	31.59228
YBR147W	RTC2	33.4813
YBR148W	YSW1	70.99667
YBR149W	ARA1	39.61218
YBR150C	TBS1	125.40863
YBR151W	APD1	36.92448
YBR152W	SPP381	33.62862
YBR153W	RIB7	28.70131
YBR154C	RPB5	24.86355
YBR155W	CNS1	44.74882
YBR156C	SLI15	79.38765
YBR157C	ICS2	28.25796
YBR158W	AMN1	64.21233
YBR159W	IFA38	39.35303
YBR160W	CDC28	34.3462
YBR161W	CSH1	42.65625
YBR162C	TOS1	51.75538
YBR162W-A	YSY6	7.69137
YBR163W	EXO5	67.40147
YBR164C	ARL1	21.03274
YBR165W	UBS1	31.97176
YBR166C	TYR1	51.74006
YBR167C	POP7	16.72915
YBR168W	PEX32	46.71148
YBR169C	SSE2	79.8699
YBR170C	NPL4	67.47448
YBR171W	SEC66	23.9793
YBR172C	SMY2	85.18383
YBR173C	UMP1	17.39756
YBR175W	SWD3	36.82978
YBR176W	ECM31	36.46727
YBR177C	EHT1	52.42689
YBR179C	FZO1	97.87684
YBR180W	DTR1	64.26024
YBR181C	RPS6B	27.5445
YBR182C	SMP1	52.30551
YBR182C-A	YBR182C-A	7.34486
YBR183W	YPC1	36.74219
YBR184W	YBR184W	59.35691
YBR185C	MBA1	32.12137
YBR186W	PCH2	63.66303
YBR187W	GDT1	30.26993
YBR188C	NTC20	16.33515
YBR189W	RPS9B	21.87082
YBR191W	RPL21A	19.13467
YBR192W	RIM2	43.4374
YBR193C	MED8	26.14378
YBR194W	AIM4	14.51628
YBR195C	MSI1	48.14567
YBR196C	PGI1	63.99882
YBR196C-A	YBR196C-A	5.41613
YBR196C-B	YBR196C-B	4.00081
YBR197C	YBR197C	25.43505
YBR198C	TAF5	92.28398
YBR199W	KTR4	53.78117
YBR200W	BEM1	63.56007
YBR200W-A	YBR200W-A	6.25885
YBR201C-A	YBR201C-A	7.34904
YBR201W	DER1	24.23497
YBR202W	MCM7	97.09835
YBR203W	COS111	104.28106
YBR204C	LDH1	44.82565
YBR205W	KTR3	46.66546
YBR207W	FTH1	52.31948
YBR208C	DUR1,2	212.92614
YBR210W	ERV15	15.92701
YBR211C	AME1	36.85816
YBR212W	NGR1	77.68434
YBR213W	MET8	31.67805
YBR214W	SDS24	60.16894
YBR215W	HPC2	70.49558
YBR216C	YBP1	78.35662
YBR217W	ATG12	21.0578
YBR218C	PYC2	136.79333
YBR219C	YBR219C	14.41683
YBR220C	YBR220C	63.77054
YBR221C	PDB1	41.59145
YBR221W-A	YBR221W-A	3.93275
YBR222C	PCS60	63.53312
YBR223C	TDP1	62.18734
YBR225W	YBR225W	101.05324
YBR227C	MCX1	60.34368
YBR228W	SLX1	36.61442
YBR229C	ROT2	108.5839
YBR230C	OM14	15.59986
YBR230W-A	YBR230W-A	7.63516
YBR231C	SWC5	34.9239
YBR233W	PBP2	46.48425
YBR233W-A	DAD3	11.18706
YBR234C	ARC40	44.91981
YBR235W	VHC1	128.5172
YBR236C	ABD1	50.02111
YBR237W	PRP5	97.78051
YBR238C	YBR238C	83.8059
YBR239C	ERT1	60.52643
YBR240C	THI2	52.29815
YBR241C	YBR241C	54.91945
YBR242W	YBR242W	27.58616
YBR243C	ALG7	51.12139
YBR244W	GPX2	19.65546
YBR245C	ISW1	130.35661
YBR246W	RRT2	44.64405
YBR247C	ENP1	54.80897
YBR248C	HIS7	64.80062
YBR249C	ARO4	42.50349
YBR250W	SPO23	58.31142
YBR251W	MRPS5	36.08094
YBR252W	DUT1	16.82161
YBR253W	SRB6	13.91641
YBR254C	TRS20	20.17159
YBR255C-A	YBR255C-A	13.57917
YBR255W	MTC4	79.14884
YBR256C	RIB5	27.7144
YBR257W	POP4	31.97751
YBR258C	SHG1	16.6654
YBR259W	YBR259W	77.52289
YBR260C	RGD1	75.7186
YBR261C	TAE1	27.77586
YBR262C	MIC12	12.86605
YBR263W	SHM1	56.03169
YBR264C	YPT10	22.87377
YBR265W	TSC10	36.74502
YBR267W	REI1	46.24597
YBR268W	MRPL37	12.2157
YBR269C	SDH8	15.58369
YBR270C	BIT2	61.64147
YBR271W	EFM2	49.25271
YBR272C	HSM3	55.2992
YBR273C	UBX7	50.81295
YBR274W	CHK1	61.49311
YBR275C	RIF1	220.49943
YBR276C	PPS1	94.18124
YBR278W	DPB3	23.62394
YBR279W	PAF1	51.68076
YBR280C	SAF1	72.9186
YBR281C	DUG2	100.86546
YBR282W	MRPL27	17.48199
YBR283C	SSH1	55.49571
YBR284W	YBR284W	92.13587
YBR285W	YBR285W	16.1191
YBR286W	APE3	61.85885
YBR287W	YBR287W	48.46332
YBR288C	APM3	56.24115
YBR289W	SNF5	106.81737
YBR290W	BSD2	36.35679
YBR291C	CTP1	33.75151
YBR293W	VBA2	51.95817
YBR294W	SUL1	98.7601
YBR295W	PCA1	140.48122
YBR296C	PHO89	64.93989
YBR296C-A	YBR296C-A	4.64643
YBR297W	MAL33	54.16919
YBR298C	MAL31	69.9964
YBR298C-A	YBR298C-A	8.3342
YBR299W	MAL32	67.28109
YBR301W	PAU24	13.15267
YBR302C	COS2	44.70462
YCL001W	RER1	21.22422
YCL001W-A	YCL001W-A	17.34359
YCL001W-B	YCL001W-B	9.54315
YCL002C	YCL002C	30.26689
YCL004W	PGS1	59.09414
YCL005W	LDB16	29.31793
YCL005W-A	VMA9	8.5487
YCL008C	STP22	44.6144
YCL009C	ILV6	35.54434
YCL010C	SGF29	30.88875
YCL011C	GBP2	49.16024
YCL012C	YCL012C	15.20246
YCL014W	BUD3	188.03091
YCL016C	DCC1	44.08427
YCL017C	NFS1	56.09439
YCL018W	LEU2	41.92589
YCL019W	YCL019W	201.62389
YCL020W	YCL020W	50.52915
YCL021W-A	YCL021W-A	14.33933
YCL024W	KCC4	117.74473
YCL025C	AGP1	71.05637
YCL026C-A	FRM2	22.49916
YCL026C-B	HBN1	21.62763
YCL027W	FUS1	58.25057
YCL028W	RNQ1	47.45659
YCL029C	BIK1	51.42543
YCL030C	HIS4	94.02624
YCL031C	RRP7	34.61821
YCL032W	STE50	40.62228
YCL033C	MXR2	20.00807
YCL034W	LSB5	38.65366
YCL035C	GRX1	12.76318
YCL036W	GFD2	66.37258
YCL037C	SRO9	50.53995
YCL038C	ATG22	60.42432
YCL039W	GID7	85.29914
YCL040W	GLK1	57.79957
YCL042W	YCL042W	13.47743
YCL043C	PDI1	60.37831
YCL044C	MGR1	47.56553
YCL045C	EMC1	88.38261
YCL047C	POF1	30.1355
YCL048W	SPS22	52.76264
YCL048W-A	YCL048W-A	8.82486
YCL049C	YCL049C	36.68944
YCL050C	APA1	37.11263
YCL051W	LRE1	66.37201
YCL052C	PBN1	48.16621
YCL054W	SPB1	97.61189
YCL054W-A	RDT1	3.03464
YCL055W	KAR4	39.04793
YCL056C	PEX34	16.9944
YCL057C-A	MIC10	11.30846
YCL057W	PRD1	82.06528
YCL058C	FYV5	16.66287
YCL058W-A	ADF1	13.24816
YCL059C	KRR1	37.15508
YCL061C	MRC1	125.52859
YCL063W	VAC17	47.85237
YCL064C	CHA1	41.44923
YCL066W	HMLALPHA1	20.12723
YCL067C	HMLALPHA2	23.99864
YCL068C	YCL068C	30.59866
YCL069W	VBA3	51.8546
YCL073C	GEX1	68.81144
YCR002C	CDC10	35.92317
YCR003W	MRPL32	21.95294
YCR004C	YCP4	27.98276
YCR005C	CIT2	53.3004
YCR007C	YCR007C	27.62738
YCR008W	SAT4	69.2074
YCR009C	RVS161	30.37485
YCR010C	ADY2	32.25273
YCR011C	ADP1	120.1881
YCR012W	PGK1	48.44386
YCR014C	POL4	67.01885
YCR015C	YCR015C	36.60221
YCR016W	YCR016W	34.41936
YCR017C	CWH43	108.14305
YCR018C	SRD1	25.40172
YCR019W	MAK32	40.92344
YCR020C	PET18	24.68903
YCR020C-A	MAK31	10.28641
YCR020W-B	HTL1	8.90392
YCR021C	HSP30	38.04084
YCR023C	YCR023C	70.07686
YCR024C	SLM5	56.58182
YCR024C-A	PMP1	4.39643
YCR024C-B	YCR024C-B	10.2179
YCR026C	NPP1	85.29582
YCR027C	RHB1	23.72409
YCR028C	FEN2	58.92928
YCR028C-A	RIM1	15.31419
YCR030C	SYP1	98.60798
YCR031C	RPS14A	15.73045
YCR032W	BPH1	245.99113
YCR033W	SNT1	139.94145
YCR034W	ELO2	40.71407
YCR035C	RRP43	43.80434
YCR036W	RBK1	38.67856
YCR037C	PHO87	104.28904
YCR038C	BUD5	74.09674
YCR039C	MATALPHA2	23.99864
YCR040W	MATALPHA1	20.12723
YCR041W	YCR041W	12.87613
YCR042C	TAF2	163.6801
YCR043C	YCR043C	14.94076
YCR044C	PER1	40.36406
YCR045C	RRT12	56.3863
YCR046C	IMG1	19.45429
YCR047C	BUD23	31.82794
YCR048W	ARE1	71.01506
YCR050C	YCR050C	12.42265
YCR051W	YCR051W	25.74476
YCR052W	RSC6	56.10593
YCR053W	THR4	58.30427
YCR054C	CTR86	64.37673
YCR057C	PWP2	105.95782
YCR059C	YIH1	30.02278
YCR060W	TAH1	13.1527
YCR061W	YCR061W	71.27317
YCR063W	BUD31	18.12128
YCR065W	HCM1	64.49298
YCR066W	RAD18	56.32004
YCR067C	SED4	117.6038
YCR068W	ATG15	60.51759
YCR069W	CPR4	36.93801
YCR071C	IMG2	16.87217
YCR072C	RSA4	60.6642
YCR073C	SSK22	153.45899
YCR073W-A	SOL2	36.26646
YCR075C	ERS1	29.99099
YCR075W-A	YCR075W-A	8.54473
YCR076C	FUB1	29.45818
YCR077C	PAT1	90.32748
YCR079W	PTC6	50.64781
YCR081W	SRB8	162.25433
YCR082W	AHC2	14.84668
YCR083W	TRX3	14.82102
YCR084C	TUP1	83.37523
YCR086W	CSM1	22.42541
YCR087C-A	YCR087C-A	18.87988
YCR088W	ABP1	67.77025
YCR089W	FIG2	174.94981
YCR090C	YCR090C	21.08461
YCR091W	KIN82	81.68378
YCR092C	MSH3	116.64125
YCR093W	CDC39	241.52082
YCR094W	CDC50	44.56551
YCR095C	OCA4	41.64366
YCR095W-A	YCR095W-A	6.03227
YCR096C	HMRA2	13.65934
YCR097W	HMRA1	14.40113
YCR098C	GIT1	58.85336
YCR099C	YCR099C	17.6305
YCR100C	YCR100C	35.18266
YCR101C	YCR101C	20.53041
YCR102C	YCR102C	43.20436
YCR104W	PAU3	13.5232
YCR105W	ADH7	42.62579
YCR106W	RDS1	95.78769
YCR107W	AAD3	40.81903
YCR108C	YCR108C	7.08275
YDL001W	RMD1	49.37799
YDL002C	NHP10	23.79498
YDL003W	MCD1	63.66458
YDL004W	ATP16	18.33485
YDL005C	MED2	50.6885
YDL006W	PTC1	32.76345
YDL007C-A	YDL007C-A	9.44352
YDL007W	RPT2	50.55738
YDL008W	APC11	19.65401
YDL009C	YDL009C	12.46159
YDL010W	GRX6	26.42022
YDL012C	YDL012C	12.89522
YDL013W	SLX5	69.3817
YDL014W	NOP1	37.98527
YDL015C	TSC13	35.86193
YDL017W	CDC7	58.65012
YDL018C	ERP3	25.34696
YDL019C	OSH2	149.64354
YDL020C	RPN4	59.97462
YDL021W	GPM2	36.37831
YDL022C-A	YDL022C-A	9.35383
YDL022W	GPD1	45.99395
YDL024C	DIA3	52.63544
YDL025C	RTK1	72.71779
YDL027C	YDL027C	47.41651
YDL028C	MPS1	86.29106
YDL029W	ARP2	45.76159
YDL030W	PRP9	60.79484
YDL031W	DBP10	114.34651
YDL033C	SLM3	48.48648
YDL035C	GPR1	109.36574
YDL036C	PUS9	54.0305
YDL037C	BSC1	35.79784
YDL039C	PRM7	74.78597
YDL040C	NAT1	97.66614
YDL042C	SIR2	65.3287
YDL043C	PRP11	31.7394
YDL044C	MTF2	50.75743
YDL045C	FAD1	34.34225
YDL045W-A	MRP10	11.30795
YDL046W	NPC2	20.08121
YDL047W	SIT4	37.22644
YDL048C	STP4	56.09443
YDL049C	KNH1	30.68408
YDL051W	LHP1	31.99251
YDL052C	SLC1	35.73713
YDL053C	PBP4	21.31939
YDL054C	MCH1	54.79824
YDL055C	PSA1	42.92401
YDL056W	MBP1	95.21061
YDL057W	YDL057W	37.57903
YDL058W	USO1	204.12315
YDL059C	RAD59	27.06293
YDL060W	TSR1	91.40432
YDL061C	RPS29B	6.67489
YDL063C	SYO1	70.50211
YDL064W	UBC9	18.79973
YDL065C	PEX19	40.60315
YDL066W	IDP1	48.36787
YDL067C	COX9	6.70888
YDL069C	CBS1	25.82344
YDL070W	BDF2	72.36589
YDL072C	YET3	22.66533
YDL073W	YDL073W	112.38462
YDL074C	BRE1	78.80101
YDL075W	RPL31A	13.50787
YDL076C	RXT3	33.72863
YDL077C	VAM6	119.84076
YDL078C	MDH3	40.21898
YDL079C	MRK1	58.66551
YDL080C	THI3	70.79561
YDL081C	RPP1A	11.53729
YDL082W	RPL13A	22.35655
YDL083C	RPS16B	16.72377
YDL084W	SUB2	51.07389
YDL085C-A	YDL085C-A	7.71501
YDL085W	NDE2	62.86948
YDL086W	YDL086W	31.56478
YDL087C	LUC7	30.83151
YDL088C	ASM4	60.70687
YDL089W	NUR1	54.73935
YDL090C	RAM1	49.52312
YDL091C	UBX3	52.07459
YDL092W	SRP14	17.18
YDL093W	PMT5	85.69987
YDL095W	PMT1	94.77285
YDL097C	RPN6	49.85813
YDL098C	SNU23	22.12591
YDL099W	BUG1	40.01458
YDL100C	GET3	40.99191
YDL101C	DUN1	59.69493
YDL102W	POL3	127.05878
YDL103C	QRI1	55.49084
YDL104C	QRI7	46.27932
YDL105W	NSE4	45.2381
YDL106C	PHO2	63.72619
YDL107W	MSS2	40.57454
YDL108W	KIN28	35.18355
YDL109C	YDL109C	74.25345
YDL110C	TMA17	17.00764
YDL111C	RRP42	30.4564
YDL112W	TRM3	163.68486
YDL113C	ATG20	72.88502
YDL114W	YDL114W	33.92589
YDL115C	IWR1	40.04249
YDL116W	NUP84	81.96743
YDL117W	CYK3	100.90527
YDL119C	YDL119C	34.25503
YDL120W	YFH1	20.4313
YDL121C	YDL121C	16.68855
YDL122W	UBP1	93.59837
YDL123W	SNA4	16.76322
YDL124W	YDL124W	36.00897
YDL125C	HNT1	17.57075
YDL126C	CDC48	95.5939
YDL127W	PCL2	33.92476
YDL128W	VCX1	46.26556
YDL129W	YDL129W	33.50773
YDL130W	RPP1B	11.23183
YDL130W-A	STF1	9.8869
YDL131W	LYS21	50.29814
YDL132W	CDC53	92.21807
YDL133C-A	RPL41B	2.85237
YDL133W	SRF1	49.92577
YDL134C	PPH21	43.92756
YDL135C	RDI1	23.62048
YDL136W	RPL35B	14.03768
YDL137W	ARF2	20.93499
YDL138W	RGT2	85.82472
YDL139C	SCM3	25.35453
YDL140C	RPO21	200.25963
YDL141W	BPL1	80.9817
YDL142C	CRD1	31.47082
YDL143W	CCT4	59.1412
YDL144C	YDL144C	40.91816
YDL145C	COP1	138.33569
YDL146W	LDB17	55.85637
YDL147W	RPN5	51.47744
YDL148C	NOP14	92.56011
YDL149W	ATG9	115.37415
YDL150W	RPC53	49.33369
YDL153C	SAS10	69.95799
YDL154W	MSH5	101.64305
YDL155W	CLB3	48.2369
YDL156W	CMR1	59.60229
YDL157C	YDL157C	14.17599
YDL159W	STE7	59.29152
YDL159W-A	YDL159W-A	4.72014
YDL160C	DHH1	58.75633
YDL160C-A	MHF2	9.10173
YDL161W	ENT1	53.26778
YDL164C	CDC9	86.86761
YDL165W	CDC36	22.18485
YDL166C	FAP7	23.53821
YDL167C	NRP1	83.5183
YDL168W	SFA1	45.11436
YDL169C	UGX2	25.7745
YDL170W	UGA3	59.63146
YDL171C	GLT1	247.83004
YDL173W	PAR32	33.84331
YDL174C	DLD1	68.39281
YDL175C	AIR2	40.39402
YDL176W	YDL176W	80.34226
YDL177C	YDL177C	20.48152
YDL178W	DLD2	62.39339
YDL179W	PCL9	34.65922
YDL180W	YDL180W	61.73044
YDL181W	INH1	9.62617
YDL182W	LYS20	48.76051
YDL183C	YDL183C	36.70205
YDL184C	RPL41A	2.85237
YDL185W	VMA1	122.96867
YDL186W	YDL186W	32.25395
YDL188C	PPH22	44.62407
YDL189W	RBS1	52.39244
YDL190C	UFD2	108.9625
YDL191W	RPL35A	14.03768
YDL192W	ARF1	20.84886
YDL193W	NUS1	43.88049
YDL194W	SNF3	99.55811
YDL195W	SEC31	145.88563
YDL197C	ASF2	60.72889
YDL198C	GGC1	33.88518
YDL199C	YDL199C	76.96705
YDL200C	MGT1	22.22666
